Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C119       C0402              2882.85mil        745mil       2883mil        745mil     2901.7mil        745mil  T        180.00 10nF           
C105       C0402                 1347mil     841.85mil       1347mil        842mil       1347mil      860.7mil  T        270.00 10nF           
C100       C0402                  651mil     841.85mil        651mil        842mil        651mil      860.7mil  T        270.00 10nF           
R79        R0402             1118.161mil   2018.701mil    1118.11mil   2018.701mil   1099.212mil   2018.701mil  T        360.00 10K            
C68        C0402               130.85mil       1922mil        131mil       1922mil      149.7mil       1922mil  T        180.00 100nF          
C32        C0402                 1248mil    2797.15mil       1248mil       2797mil       1248mil     2778.3mil  T         90.00 100nF          
TP43       TP-2                   650mil       3450mil        650mil       3450mil        650mil       3450mil  B         90.00 TP4            
C14        C0603                 2634mil       3484mil       2634mil       3484mil   2660.772mil       3484mil  T        180.00 1nF            
C13        C0603                 2634mil       3429mil       2634mil       3429mil   2660.772mil       3429mil  T        180.00 100nF          
C17        C1206                 2685mil       3362mil       2685mil       3362mil   2737.165mil       3362mil  T        180.00 TBD            
C30        C0805                 2609mil   2878.701mil       2609mil       2879mil       2609mil   2916.402mil  T        270.00 10uF           
TP75       TP-2              3976.378mil   1330.709mil   3976.378mil   1330.709mil   3976.378mil   1330.709mil  B         90.00 TP4            
TP53       TP-2              3762.795mil       2582mil   3762.795mil       2582mil   3762.795mil       2582mil  B         90.00 TP4            
TP46       TP-2                  2916mil       3038mil       2916mil       3038mil       2916mil       3038mil  B         90.00 TP4            
TP45       TP-2              3762.795mil   2981.299mil   3762.795mil   2981.299mil   3762.795mil   2981.299mil  B         90.00 TP4            
TP42       TP-2                  3202mil       3397mil       3202mil       3397mil       3202mil       3397mil  B         90.00 TP4            
TP41       TP-2              3762.795mil    3382.48mil   3762.795mil    3382.48mil   3762.795mil    3382.48mil  B         90.00 TP4            
TP44       TP-2                   475mil       3450mil        475mil       3450mil        475mil       3450mil  B         90.00 TP4            
TP47       TP-2                  2602mil       2916mil       2602mil       2916mil       2602mil       2916mil  B         90.00 TP4            
TP36       TP-2                  3645mil       3828mil       3645mil       3828mil       3645mil       3828mil  B         90.00 TP4            
C67        C0603                  773mil       2021mil        773mil       2021mil    746.228mil       2021mil  T        360.00 0603           
R64        R0402              113.051mil       1969mil        113mil       1969mil     94.102mil       1969mil  T        360.00 R0402TBD       
C58        C0402               113.15mil       2009mil        113mil       2009mil       94.3mil       2009mil  T        360.00 C0402TBD       
J19        HDR2X12               1351mil       1456mil       1901mil       1506mil       1901mil       1506mil  T        180.00 Header 12X2    
J12        HDR2X5                1001mil       2165mil       1201mil       2215mil       1201mil       2215mil  T        180.00 Header 5X2     
J14        HDR2X5                1001mil       1880mil       1201mil       1930mil       1201mil       1930mil  T        180.00 Header 5X2     
TP77       TP-2                  2625mil     1365.5mil       2625mil     1365.5mil       2625mil     1365.5mil  B         90.00 TP4            
TP72       TP-2                  3055mil       1506mil       3055mil       1506mil       3055mil       1506mil  B         90.00 TP4            
R107       R0402             2175.949mil     823.42mil       2176mil     823.42mil   2194.898mil     823.42mil  T        180.00 10K            
R113       R0402                 3474mil    841.949mil       3474mil        842mil       3474mil    860.898mil  T        270.00 100K           
R110       R0402                 2766mil    841.949mil       2766mil        842mil       2766mil    860.898mil  T        270.00 100K           
R120       R0402             1467.949mil        746mil       1468mil        746mil   1486.898mil        746mil  T        180.00 100K           
D24        LED2012120         149.669mil       2901mil        150mil       2901mil    191.338mil       2901mil  T        180.00 5988170107F    
TP16       TP-2                  1815mil       1269mil       1815mil       1269mil       1815mil       1269mil  T         90.00 TP4            
TP15       TP-2                  1915mil       1254mil       1915mil       1254mil       1915mil       1254mil  T         90.00 TP4            
TP20       TP-2                  1715mil       1175mil       1715mil       1175mil       1715mil       1175mil  T         90.00 TP4            
TP14       TP-2                  1715mil       1269mil       1715mil       1269mil       1715mil       1269mil  T         90.00 TP4            
TP12       TP-2                  1615mil       1204mil       1615mil       1204mil       1615mil       1204mil  T         90.00 TP4            
