Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil     131.89mil   4237.796mil     131.89mil   4237.796mil     131.89mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil   8479.741mil   4237.796mil   8479.741mil   4237.796mil   8479.741mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   8479.741mil    378.937mil   8479.741mil    378.937mil   8479.741mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   8479.741mil    378.937mil   8479.741mil    378.937mil   8479.741mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil   8479.741mil   4237.796mil   8479.741mil   4237.796mil   8479.741mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil     131.89mil   4237.796mil     131.89mil   4237.796mil     131.89mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  T         90.00 Comment        
TVS8       SMF               2317.937mil    760.937mil   2317.937mil    760.937mil   2317.937mil    818.024mil  T         90.00 TVS 30V SMF    
TVS7       SMF               2366.937mil    914.937mil   2366.937mil    914.937mil   2424.024mil    914.937mil  T        360.00 TVS 30V SMF    
TVS6       SMF               1852.937mil    760.937mil   1852.937mil    760.937mil   1852.937mil    818.024mil  T         90.00 TVS 30V SMF    
TVS5       SMF               1744.937mil    651.937mil   1744.937mil    651.937mil   1744.937mil     594.85mil  T        270.00 TVS 30V SMF    
TVS4       SMF                958.937mil    748.024mil    958.937mil    748.024mil    958.937mil     805.11mil  T         90.00 TVS 30V SMF    
TVS3       SMF                946.024mil    954.937mil    946.024mil    954.937mil    1003.11mil    954.937mil  T        360.00 TVS 30V SMF    
TVS2       SMF                401.937mil    708.937mil    401.937mil    708.937mil    401.937mil    766.024mil  T         90.00 TVS 30V SMF    
TVS1       SMF                396.937mil    914.937mil    396.937mil    914.937mil     339.85mil    914.937mil  T        180.00 TVS 30V SMF    
TP100      TP-2              1309.087mil    511.616mil   1309.087mil    511.616mil   1309.087mil    511.616mil  B         90.00 TP4            
TP99       TP-2              1408.376mil    512.516mil   1408.376mil    512.516mil   1408.376mil    512.516mil  B         90.00 TP4            
TP98       TP-2              1509.435mil     512.41mil   1509.435mil     512.41mil   1509.435mil     512.41mil  B         90.00 TP4            
TP97       TP-2              1609.081mil    512.272mil   1609.081mil    512.272mil   1609.081mil    512.272mil  B         90.00 TP4            
TP92       TP-2              3003.895mil    509.751mil   3003.895mil    509.751mil   3003.895mil    509.751mil  B         90.00 TP4            
TP91       TP-2              3103.944mil    510.836mil   3103.944mil    510.836mil   3103.944mil    510.836mil  B         90.00 TP4            
TP90       TP-2              3203.872mil    511.739mil   3203.872mil    511.739mil   3203.872mil    511.739mil  B         90.00 TP4            
TP89       TP-2              3304.106mil    511.654mil   3304.106mil    511.654mil   3304.106mil    511.654mil  B         90.00 TP4            
TP88       TP-2               3599.08mil    511.299mil    3599.08mil    511.299mil    3599.08mil    511.299mil  B         90.00 TP4            
TP87       TP-2              3699.074mil    511.422mil   3699.074mil    511.422mil   3699.074mil    511.422mil  B         90.00 TP4            
TP86       TP-2              3798.907mil     511.13mil   3798.907mil     511.13mil   3798.907mil     511.13mil  B         90.00 TP4            
TP85       TP-2              3898.962mil    511.434mil   3898.962mil    511.434mil   3898.962mil    511.434mil  B         90.00 TP4            
TP83       TP-2              1606.138mil   1186.594mil   1606.138mil   1186.594mil   1606.138mil   1186.594mil  B         90.00 TP4            
TP25       TP-2               872.818mil   1152.025mil    872.818mil   1152.025mil    872.818mil   1152.025mil  B         90.00 TP4            
TP19       TP-2               908.948mil    511.005mil    908.948mil    511.005mil    908.948mil    511.005mil  B         90.00 TP4            
TP18       TP-2              1009.141mil    511.339mil   1009.141mil    511.339mil   1009.141mil    511.339mil  B         90.00 TP4            
TP17       TP-2              2784.882mil   2279.255mil   2784.882mil   2279.255mil   2784.882mil   2279.255mil  B         90.00 TP4            
TP12       TP-2              3615.038mil   1883.654mil   3615.038mil   1883.654mil   3615.038mil   1883.654mil  B         90.00 TP4            
TP11       TP-2              2893.198mil   2684.379mil   2893.198mil   2684.379mil   2893.198mil   2684.379mil  B         90.00 TP4            
TP10       TP-2              3183.316mil   1834.148mil   3183.316mil   1834.148mil   3183.316mil   1834.148mil  B         90.00 TP4            
TP9        TP-2              2995.676mil   1849.169mil   2995.676mil   1849.169mil   2995.676mil   1849.169mil  B         90.00 TP4            
TP8        TP-2              3450.503mil   2352.825mil   3450.503mil   2352.825mil   3450.503mil   2352.825mil  B         90.00 TP4            
TP7        TP-2              3525.701mil   2480.031mil   3525.701mil   2480.031mil   3525.701mil   2480.031mil  B         90.00 TP4            
TP6        TP-2               3259.32mil   2300.055mil    3259.32mil   2300.055mil    3259.32mil   2300.055mil  B         90.00 TP4            
TP5        TP-2              3109.213mil   2305.915mil   3109.213mil   2305.915mil   3109.213mil   2305.915mil  B         90.00 TP4            
TP4        TP-2              3080.073mil    938.343mil   3080.073mil    938.343mil   3080.073mil    938.343mil  B         90.00 TP4            
TP3        TP-2               3792.65mil    985.668mil    3792.65mil    985.668mil    3792.65mil    985.668mil  B         90.00 TP4            
TP2        TP-2               809.051mil    511.195mil    809.051mil    511.195mil    809.051mil    511.195mil  B         90.00 TP4            
TP1        TP-2               709.008mil    511.489mil    709.008mil    511.489mil    709.008mil    511.489mil  B         90.00 TP4            
R130       2512R-0.55        3613.937mil    815.795mil   3613.937mil    815.795mil   3613.937mil    699.654mil  T         90.00 2512           
R129       R0402               665.61mil   1445.542mil     665.61mil   1445.491mil     665.61mil   1426.593mil  T         90.00 10K            
R128       2512R-0.55        2868.937mil    818.937mil   2868.937mil    818.937mil   2868.937mil    702.795mil  T         90.00 2512           
R127       2512R-0.55        2718.937mil    817.937mil   2718.937mil    817.937mil   2718.937mil    701.795mil  T         90.00 2512           
R124       2512R-0.55        1452.937mil    819.937mil   1452.937mil    819.937mil   1452.937mil    703.795mil  T         90.00 2512           
R123       2512R-0.55        1301.937mil    819.795mil   1301.937mil    819.795mil   1301.937mil    703.654mil  T         90.00 2512           
R122       2512R-0.55         726.937mil    818.795mil    726.937mil    818.795mil    726.937mil    702.654mil  T         90.00 2512           
R121       2512R-0.55         573.937mil    818.937mil    573.937mil    818.937mil    573.937mil    702.795mil  T         90.00 2512           
