Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil     131.89mil   4237.796mil     131.89mil   4237.796mil     131.89mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil   8479.741mil   4237.796mil   8479.741mil   4237.796mil   8479.741mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   8479.741mil    378.937mil   8479.741mil    378.937mil   8479.741mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   8479.741mil    378.937mil   8479.741mil    378.937mil   8479.741mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil   8479.741mil   4237.796mil   8479.741mil   4237.796mil   8479.741mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil     131.89mil   4237.796mil     131.89mil   4237.796mil     131.89mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  T         90.00 Comment        
C147       C0402             3370.087mil    540.937mil   3369.937mil    540.937mil   3351.237mil    540.937mil  T        360.00 1nF            
C146       C0402             3153.937mil    561.087mil   3153.937mil    560.937mil   3153.937mil    542.237mil  T         90.00 1nF            
C145       C0402             2939.787mil    541.937mil   2939.937mil    541.937mil   2958.637mil    541.937mil  T        180.00 1nF            
C144       C0402             3170.787mil    751.937mil   3170.937mil    751.937mil   3189.637mil    751.937mil  T        180.00 1nF            
C143       C0402             3187.937mil    869.087mil   3187.937mil    868.937mil   3187.937mil    850.237mil  T         90.00 1nF            
C142       C0402             3052.937mil    600.787mil   3052.937mil    600.937mil   3052.937mil    619.637mil  T        270.00 1nF            
C141       C0402             2562.787mil    959.937mil   2562.937mil    959.937mil   2581.637mil    959.937mil  T        180.00 1nF            
C140       C0402             1558.937mil    560.787mil   1558.937mil    560.937mil   1558.937mil    579.637mil  T        270.00 1nF            
C139       C0402             1673.723mil    541.691mil   1673.573mil    541.691mil   1654.873mil    541.691mil  T        360.00 1nF            
C138       C0402             1457.937mil    561.087mil   1457.937mil    560.937mil   1457.937mil    542.237mil  T         90.00 1nF            
C137       C0402             1244.787mil    541.937mil   1244.937mil    541.937mil   1263.637mil    541.937mil  T        180.00 1nF            
C136       C0402             1574.087mil    630.937mil   1573.937mil    630.937mil   1555.237mil    630.937mil  T        360.00 1nF            
C135       C0402             1728.937mil    821.087mil   1728.937mil    820.937mil   1728.937mil    802.237mil  T         90.00 1nF            
C134       C0402             1357.937mil    591.787mil   1357.937mil    591.937mil   1357.937mil    610.637mil  T        270.00 1nF            
C133       C0402             1148.787mil    956.937mil   1148.937mil    956.937mil   1167.637mil    956.937mil  T        180.00 1nF            
C132       CAP-ELEC-063063077   3853.937mil   1279.937mil   3853.937mil   1279.937mil   3853.937mil   1177.575mil  T        270.00 UWT1V101MCL1GS 
C131       C0402             3652.087mil   1382.937mil   3651.937mil   1382.937mil   3633.237mil   1382.937mil  T        360.00 0402           
C130       C0402             3848.937mil    559.087mil   3848.937mil    558.937mil   3848.937mil    540.237mil  T         90.00 1nF            
C129       C0402             3948.937mil    560.087mil   3948.937mil    559.937mil   3948.937mil    541.237mil  T         90.00 1nF            
C128       C0402             3748.937mil    559.087mil   3748.937mil    558.937mil   3748.937mil    540.237mil  T         90.00 1nF            
C127       C0402             3648.937mil    559.087mil   3648.937mil    558.937mil   3648.937mil    540.237mil  T         90.00 1nF            
C126       C0402             3848.937mil    694.087mil   3848.937mil    693.937mil   3848.937mil    675.237mil  T         90.00 1nF            
C125       C0402             3797.937mil   1076.787mil   3797.937mil   1076.937mil   3797.937mil   1095.637mil  T        270.00 10nF           
C124       C0402             3039.937mil   1020.087mil   3039.937mil   1019.937mil   3039.937mil   1001.237mil  T         90.00 10nF           
C121       C0603             3663.937mil   1022.937mil   3663.937mil   1022.937mil   3637.165mil   1022.937mil  T        360.00 100nF          
C120       C0603             2944.937mil   1020.937mil   2944.937mil   1020.937mil   2918.165mil   1020.937mil  T        360.00 100nF          
C119       C0603             1622.937mil    992.937mil   1622.937mil    992.937mil   1596.165mil    992.937mil  T        360.00 100nF          
C118       C0603              799.709mil   1022.937mil    799.709mil   1022.937mil    772.937mil   1022.937mil  T        360.00 100nF          
C117       C0603             3280.937mil   1002.937mil   3280.937mil   1002.937mil   3307.709mil   1002.937mil  T        180.00 100nF          
C116       C0603             2572.937mil   1007.937mil   2572.937mil   1007.937mil   2599.709mil   1007.937mil  T        180.00 100nF          
C115       C0603             1155.937mil   1006.937mil   1155.937mil   1006.937mil   1182.709mil   1006.937mil  T        180.00 100nF          
C114       C0603              429.937mil    984.937mil    429.937mil    984.937mil    456.709mil    984.937mil  T        180.00 100nF          
C113       C0402             3290.787mil   1052.937mil   3290.937mil   1052.937mil   3309.637mil   1052.937mil  T        180.00 100nF          
C112       C0402             2663.087mil   1032.937mil   2662.937mil   1032.937mil   2644.237mil   1032.937mil  T        360.00 100nF          
C110       C0402             3948.937mil    695.087mil   3948.937mil    694.937mil   3948.937mil    676.237mil  T         90.00 1nF            
C108       C0402             1156.937mil   1075.087mil   1156.937mil   1074.937mil   1156.937mil   1056.237mil  T         90.00 100nF          
C106       C0402             3838.937mil   1035.787mil   3838.937mil   1035.937mil   3838.937mil   1054.637mil  T        270.00 10nF           
C105       C0402             3121.937mil   1060.087mil   3121.937mil   1059.937mil   3121.937mil   1041.237mil  T         90.00 10nF           
C104       C0402             3704.937mil    682.087mil   3704.937mil    681.937mil   3704.937mil    663.237mil  T         90.00 1nF            
C102       C0402             3285.937mil   1136.087mil   3285.937mil   1135.937mil   3285.937mil   1117.237mil  T         90.00 10nF           
C101       C0402             2577.937mil   1131.087mil   2577.937mil   1130.937mil   2577.937mil   1112.237mil  T         90.00 10nF           
C100       C0402             3548.937mil    559.787mil   3548.937mil    559.937mil   3548.937mil    578.637mil  T        270.00 1nF            
C99        C0402              869.937mil    779.087mil    869.937mil    778.937mil    869.937mil    760.237mil  T         90.00 1nF            
C98        C0402              964.787mil   1016.937mil    964.637mil   1016.937mil    945.937mil   1016.937mil  T        360.00 1nF            
C97        C0402              758.937mil    587.087mil    758.937mil    587.237mil    758.937mil    605.937mil  T        270.00 1nF            
C96        C0402              557.937mil    531.787mil    557.937mil    531.937mil    557.937mil    550.637mil  T        270.00 1nF            
C92        C0402              429.937mil   1152.087mil    429.937mil   1151.937mil    429.937mil   1133.237mil  T         90.00 10nF           
C91        C0402              799.087mil   1382.937mil    798.937mil   1382.937mil    780.237mil   1382.937mil  T        360.00 0402           
C89        C0402              403.787mil   1075.937mil    403.937mil   1075.937mil    422.637mil   1075.937mil  T        180.00 100nF          
C88        CAP-ELEC-063063077   1023.937mil   1303.937mil   1023.937mil   1303.937mil   1023.937mil   1201.575mil  T        270.00 UWT1V101MCL1GS 
C87        C0402              970.787mil   1064.937mil    970.937mil   1064.937mil    989.637mil   1064.937mil  T        180.00 10nF           
C83        C0402             2153.937mil    560.087mil   2153.937mil    559.937mil   2153.937mil    541.237mil  T         90.00 1nF            
C79        C0402             2269.087mil    540.937mil   2268.937mil    540.937mil   2250.237mil    540.937mil  T        360.00 1nF            
C78        C0402             2053.937mil    561.087mil   2053.937mil    560.937mil   2053.937mil    542.237mil  T         90.00 1nF            
C75        C0402             1839.787mil    540.937mil   1839.937mil    540.937mil   1858.637mil    540.937mil  T        180.00 1nF            
C74        C0402             2288.087mil    654.937mil   2287.937mil    654.937mil   2269.237mil    654.937mil  T        360.00 1nF            
C64        C0402             2349.087mil    975.937mil   2348.937mil    975.937mil   2330.237mil    975.937mil  T        360.00 1nF            
C62        C0402             1952.937mil    603.787mil   1952.937mil    603.937mil   1952.937mil    622.637mil  T        270.00 1nF            
C61        C0402             1843.787mil    957.937mil   1843.937mil    957.937mil   1862.637mil    957.937mil  T        180.00 1nF            
C60        C0402             1868.937mil   1138.087mil   1868.937mil   1137.937mil   1868.937mil   1119.237mil  T         90.00 10nF           
C59        C0402              956.937mil    559.787mil    956.937mil    559.637mil    956.937mil    540.937mil  T         90.00 1nF            
C58        C0402             1054.937mil    560.087mil   1054.937mil    559.937mil   1054.937mil    541.237mil  T         90.00 1nF            
C48        C0402              855.937mil    560.787mil    855.937mil    560.637mil    855.937mil    541.937mil  T         90.00 1nF            
C47        C0402              644.087mil    539.937mil    644.237mil    539.937mil    662.937mil    539.937mil  T        180.00 1nF            
TP105      TP-2              3507.892mil    1548.48mil   3507.892mil    1548.48mil   3507.892mil    1548.48mil  B         90.00 TP4            
TP43       TP-2              3707.937mil   3487.937mil   3707.937mil   3487.937mil   3707.937mil   3487.937mil  B         90.00 TP4            
D28        SOD523_           2919.937mil   1918.937mil   2919.937mil   1918.937mil   2919.937mil   1891.378mil  T        270.00 BAT54          
TP48       TP-2              3505.937mil   3249.937mil   3505.937mil   3249.937mil   3505.937mil   3249.937mil  B         90.00 TP4            
TP44       TP-2              3707.937mil   3302.937mil   3707.937mil   3302.937mil   3707.937mil   3302.937mil  B         90.00 TP4            
P1         HDR2X4            2141.937mil   3506.937mil   2291.937mil   3556.937mil   2291.937mil   3556.937mil  T        180.00 Header 4X2     
D69        SOD923-100X40-2N     833.35mil   2197.936mil     833.35mil   2197.936mil     833.35mil   2180.219mil  T        270.00 ESD9B3.3ST5G   
D68        SOD923-100X40-2N     753.67mil   2197.122mil     753.67mil   2197.122mil     753.67mil   2179.405mil  T        270.00 ESD9B3.3ST5G   
D67        SOD923-100X40-2N    920.276mil   2301.181mil    920.276mil   2301.181mil    920.276mil   2283.465mil  T        270.00 ESD9B3.3ST5G   
D66        SOD923-100X40-2N     828.74mil   2300.197mil     828.74mil   2300.197mil     828.74mil    2282.48mil  T        270.00 ESD9B3.3ST5G   
D65        SOD923-100X40-2N    673.228mil   2207.677mil    673.228mil   2207.677mil    673.228mil   2189.961mil  T        270.00 ESD9B3.3ST5G   
D64        SOD923-100X40-2N    632.966mil   2200.695mil    632.966mil   2200.695mil    632.966mil   2182.978mil  T        270.00 ESD9B3.3ST5G   
U10        QFN50P350X350X100_RGY_S-PVQFN-N14   2686.024mil   3034.449mil   2686.024mil   3034.449mil   2622.047mil   3004.921mil  T        360.00 SN74AHCT125RGYR
C31        C0402             2585.944mil   3035.153mil   2585.944mil   3035.003mil   2585.944mil   3016.303mil  T         90.00 100nF          
J18        502570-0893_-_MOLEX_SD    596.476mil   1852.398mil    591.063mil   1849.937mil    425.709mil   1743.638mil  T         90.00 502570-0893    
TP51       TP-2              4177.937mil   3235.937mil   4177.937mil   3235.937mil   4177.937mil   3235.937mil  B        180.00 TP4            
TP45       TP-2              3374.937mil   3914.937mil   3374.937mil   3914.937mil   3374.937mil   3914.937mil  B        180.00 TP4            
TP68       TP-2              4254.937mil   2103.937mil   4254.937mil   2103.937mil   4254.937mil   2103.937mil  B         90.00 TP4            
TP60       TP-2                 367.7mil   2624.924mil      367.7mil   2624.924mil      367.7mil   2624.924mil  B         90.00 TP4            
TP61       TP-2               808.071mil   2567.913mil    808.071mil   2567.913mil    808.071mil   2567.913mil  B         90.00 TP4            
D5         SOD323-R          4212.795mil   3899.595mil   4212.449mil   3899.595mil   4256.449mil   3899.595mil  T        360.00 RSB39VTE-17    
C50        C0603             1307.937mil   2688.937mil   1307.937mil   2688.937mil   1281.165mil   2688.937mil  T        360.00 C0603TBD       
C27        C0603             1307.937mil   3194.937mil   1307.937mil   3194.937mil   1281.165mil   3194.937mil  T        360.00 C0603TBD       
C32        C0402              819.593mil   2437.739mil    819.593mil   2437.889mil    819.593mil   2456.589mil  T        270.00 1uF            
C43        C0402              819.534mil   2515.832mil    819.534mil   2515.982mil    819.534mil   2534.682mil  T        270.00 10nF           
D27        SOT886             706.927mil   2856.748mil    706.937mil   2856.748mil     693.65mil   2876.433mil  T        270.00 PRTR5V0U2F     
L5         DLW21HN900SQ2L     817.937mil   2856.748mil    817.937mil   2856.748mil    851.402mil       2841mil  T        180.00 DLW21HN900SQ2L 
R41        R0402             2016.937mil   2899.886mil   2016.937mil   2899.937mil   2016.937mil   2918.835mil  T        270.00 1k             
S2         KMR_6_Series      2515.937mil   3244.937mil   2515.937mil   3244.937mil    2472.63mil   3164.228mil  T         90.00 KMR741NG ULC LFS
R37        R0402             2074.581mil   3025.553mil    2074.53mil   3025.553mil   2055.633mil   3025.553mil  T        360.00 100K           
R31        R0402             2278.456mil   3188.533mil   2278.456mil   3188.482mil   2278.456mil   3169.584mil  T         90.00 100K           
R38        R0402             2152.697mil   3026.475mil   2152.748mil   3026.475mil   2171.646mil   3026.475mil  T        180.00 100K           
R85        R0402             3067.937mil   1676.988mil   3067.937mil   1676.937mil   3067.937mil   1658.039mil  T         90.00 10K            
Q5         SOT23-3            531.622mil   3610.236mil    533.937mil   3609.937mil    573.307mil   3572.535mil  T         90.00 IRLML6346TRPBF 
C77        C0402             1766.332mil   1943.702mil   1766.332mil   1943.852mil   1766.332mil   1962.552mil  T        270.00 10nF           
D4         SOD323-R          2339.591mil   3891.937mil   2339.937mil   3891.937mil   2295.937mil   3891.937mil  T        180.00 RSB39VTE-17    
D11        SOD323-R          1505.937mil   3869.283mil   1505.937mil   3868.937mil   1505.937mil   3912.937mil  T         90.00 RSB39VTE-17    
D14        SOD323-R           738.591mil   3830.937mil    738.937mil   3830.937mil    694.937mil   3830.937mil  T        180.00 RSB39VTE-17    
D3         SOD923-100X40-2N    2861.13mil   2305.105mil    2861.13mil   2305.105mil   2843.413mil   2305.105mil  T        180.00 ESD9B3.3ST5G   
D19        SMA-SM            2161.079mil   3849.886mil   2146.937mil   3877.937mil   2067.937mil   3877.937mil  T        180.00 B240A-13-F     
D21        SOD323-R           351.196mil     3624.2mil    351.542mil     3624.2mil    307.542mil     3624.2mil  T        180.00 RSB39VTE-17    
D12        SMA-SM             628.886mil   3642.795mil    656.937mil   3656.937mil    656.937mil   3735.937mil  T         90.00 B240A-13-F     
U7         SOT26P285X140-6L   2367.937mil   3272.252mil   2367.937mil   3272.252mil   2330.535mil   3222.055mil  T         90.00 ZXGD3009E6     
U5         SOT26P285X140-6L   1845.134mil   3607.937mil   1845.134mil   3607.937mil   1895.331mil   3570.535mil  T        180.00 ZXGD3009E6     
U4         SOT26P285X140-6L   1444.488mil   3607.283mil   1444.488mil   3607.284mil   1494.685mil   3569.882mil  T        180.00 ZXGD3009E6     
U3         SOT26P285X140-6L   1042.913mil   3607.283mil   1042.913mil   3607.284mil    1093.11mil   3569.882mil  T        180.00 ZXGD3009E6     
U6         SOT26P285X140-6L    881.213mil   3411.811mil    881.213mil   3411.811mil    931.409mil   3374.409mil  T        180.00 ZXGD3009E6     
R30        R0402             2697.835mil   3213.532mil   2697.835mil   3213.583mil   2697.835mil   3232.481mil  T        270.00 10K            
R25        R0402             2594.937mil   3391.988mil   2594.937mil   3391.937mil   2594.937mil   3373.039mil  T         90.00 100R           
R21        R0402             1752.937mil   3624.886mil   1752.937mil   3624.937mil   1752.937mil   3643.835mil  T        270.00 100R           
R20        R0402             1352.953mil   3624.949mil   1352.953mil       3625mil   1352.953mil   3643.898mil  T        270.00 100R           
R19        R0402             2861.593mil   2389.478mil   2861.543mil   2389.478mil   2842.644mil   2389.478mil  T        360.00 1k             
R26        R0402             2267.937mil   3716.886mil   2267.937mil   3716.937mil   2267.937mil   3735.835mil  T        270.00 10K            
C22        C0402             2367.881mil   3179.406mil   2367.731mil   3179.406mil   2349.031mil   3179.406mil  T        360.00 100nF          
C21        C0402             1877.284mil   3516.937mil   1877.134mil   3516.937mil   1858.434mil   3516.937mil  T        360.00 100nF          
C20        C0402             1476.134mil   3519.685mil   1475.984mil   3519.685mil   1457.284mil   3519.685mil  T        360.00 100nF          
C19        C0402             1074.559mil   3518.701mil   1074.409mil   3518.701mil   1055.709mil   3518.701mil  T        360.00 100nF          
R107       R0402             2310.937mil   1084.886mil   2310.937mil   1084.937mil   2310.937mil   1103.835mil  T        270.00 100K           
C107       C0402             2429.787mil   1036.937mil   2429.937mil   1036.937mil   2448.637mil   1036.937mil  T        180.00 0402           
R64        R0402              960.848mil   2269.498mil    960.848mil   2269.447mil    960.848mil   2250.549mil  T         90.00 10K            
C71        C0402              435.553mil   2238.749mil    435.702mil   2238.749mil    454.402mil   2238.749mil  T        180.00 100nF          
C33        C0402             1481.301mil   3094.884mil   1481.301mil   3095.034mil   1481.301mil   3113.734mil  T        270.00 100nF          
TP41       TP-2              1934.937mil   3968.937mil   1934.937mil   3968.937mil   1934.937mil   3968.937mil  B         90.00 TP4            
C13        C0402             2887.787mil   3737.937mil   2887.937mil   3737.937mil   2906.637mil   3737.937mil  T        180.00 1nF            
C15        C0603             2887.937mil   3682.937mil   2887.937mil   3682.937mil   2914.709mil   3682.937mil  T        180.00 100nF          
C16        C1206             2871.937mil   3596.937mil   2871.937mil   3596.937mil   2924.102mil   3596.937mil  T        180.00 TBD            
C24        C0805             2875.583mil   3206.236mil   2875.583mil   3206.535mil   2875.583mil   3243.937mil  T        270.00 10uF           
TP79       TP-2               4086.99mil   1610.687mil    4086.99mil   1610.687mil    4086.99mil   1610.687mil  B         90.00 TP4            
TP57       TP-2              4150.937mil   2510.937mil   4150.937mil   2510.937mil   4150.937mil   2510.937mil  B         90.00 TP4            
TP46       TP-2              3167.937mil   3638.937mil   3167.937mil   3638.937mil   3167.937mil   3638.937mil  B         90.00 TP4            
TP42       TP-2               552.937mil   3798.937mil    552.937mil   3798.937mil    552.937mil   3798.937mil  B         90.00 TP4            
TP47       TP-2              2938.937mil   3215.937mil   2938.937mil   3215.937mil   2938.937mil   3215.937mil  B         90.00 TP4            
TP36       TP-2              3905.015mil   4174.757mil   3905.015mil   4174.757mil   3905.015mil   4174.757mil  B         90.00 TP4            
C66        C0402              976.283mil   2420.716mil    976.283mil   2420.866mil    976.283mil   2439.566mil  T        270.00 100nF          
R66        R0402              358.158mil   2238.991mil    358.107mil   2238.991mil    339.209mil   2238.991mil  T        360.00 R0402TBD       
C67        C0402              358.257mil   2278.991mil    358.107mil   2278.991mil    339.407mil   2278.991mil  T        360.00 C0402TBD       
J20        HDR2X12           1604.937mil   1709.937mil   2154.937mil   1759.937mil   2154.937mil   1759.937mil  T        180.00 Header 12X2    
J13        HDR2X5            1246.937mil   2123.937mil   1446.937mil   2173.937mil   1446.937mil   2173.937mil  T        180.00 Header 5X2     
TP78       TP-2              2878.937mil   1619.437mil   2878.937mil   1619.437mil   2878.937mil   1619.437mil  B         90.00 TP4            
TP74       TP-2              3309.055mil   1754.921mil   3309.055mil   1754.921mil   3309.055mil   1754.921mil  B         90.00 TP4            
R117       R0402             2429.886mil   1077.357mil   2429.937mil   1077.357mil   2448.835mil   1077.357mil  T        180.00 10K            
D23        LED2012120         353.281mil   3154.699mil    353.611mil   3154.699mil     394.95mil   3154.699mil  T        180.00 5988170107F    
TP84       TP-2              2387.937mil   1077.937mil   2387.937mil   1077.937mil   2387.937mil   1077.937mil  B          0.00 TP4            
R125       2512R-0.55        2011.056mil    819.937mil   2011.056mil    819.937mil   2011.056mil    703.795mil  T         90.00 2512           
R126       2512R-0.55        2163.056mil    819.937mil   2163.056mil    819.937mil   2163.056mil    703.795mil  T         90.00 2512           
R108       R0402             2350.937mil   1084.886mil   2350.937mil   1084.937mil   2350.937mil   1103.835mil  T        270.00 10K            
R111       R0402             1826.937mil   1091.886mil   1826.937mil   1091.835mil   1826.937mil   1072.937mil  T         90.00 1M             
J24        4POL254           2053.937mil    398.937mil   2053.937mil    398.937mil   2203.937mil    398.937mil  T        180.00 Molex 0705430003
J25        4POL254           2563.937mil    398.937mil   2563.937mil    398.937mil   2713.937mil    398.937mil  T        180.00 Molex 0705430003
C123       C0402             2429.787mil    998.937mil   2429.937mil    998.937mil   2448.637mil    998.937mil  T        180.00 0402           
C85        C0402             2235.087mil   1382.937mil   2234.937mil   1382.937mil   2216.237mil   1382.937mil  T        360.00 0402           
C111       C0402             1954.507mil   1030.937mil   1954.357mil   1030.937mil   1935.657mil   1030.937mil  T        360.00 100nF          
D26        SOD323-R           376.283mil   2915.937mil    375.937mil   2915.937mil    419.937mil   2915.937mil  T        360.00 RSB39VTE-17    
D20        LED2012120         616.937mil   3859.268mil    616.937mil   3858.937mil    616.937mil   3817.599mil  T         90.00 5988110107F    
D13        SOD923-100X40-2N   2992.965mil   2308.901mil   2992.965mil   2308.901mil   2975.249mil   2308.901mil  T        180.00 ESD9B3.3ST5G   
D16        LED2012120         876.606mil   3842.937mil    876.937mil   3842.937mil    918.275mil   3842.937mil  T        180.00 5988110107F    
D17        LED2012120        1278.606mil   3842.937mil   1278.937mil   3842.937mil   1320.275mil   3842.937mil  T        180.00 5988110107F    
D18        LED2012120        1677.606mil   3842.937mil   1677.937mil   3842.937mil   1719.275mil   3842.937mil  T        180.00 5988110107F    
D9         LED2012120        2564.937mil   3859.606mil   2564.937mil   3859.937mil   2564.937mil   3901.275mil  T        270.00 5988110107F    
U2         SOT26P285X140-6L   2171.937mil   3696.937mil   2171.937mil   3696.937mil   2222.134mil   3659.535mil  T        180.00 ZXGD3009E6     
C18        C0402             2281.787mil   3653.937mil   2281.937mil   3653.937mil   2300.637mil   3653.937mil  T        180.00 100nF          
TP75       TP-2              2978.937mil   1750.937mil   2978.937mil   1750.937mil   2978.937mil   1750.937mil  B          0.00 TP4            
TP76       TP-2              3078.937mil   1672.937mil   3078.937mil   1672.937mil   3078.937mil   1672.937mil  B          0.00 TP4            
TP77       TP-2              2978.937mil   1653.937mil   2978.937mil   1653.937mil   2978.937mil   1653.937mil  B          0.00 TP4            
FD1        FIDUCIAL-1X2      4009.937mil   4018.937mil   4009.937mil   4018.937mil   4009.937mil   4018.937mil  T        270.00 FIDUCIAL       
FD3        FIDUCIAL-1X2      4019.937mil    569.937mil   4019.937mil    569.937mil   4019.937mil    569.937mil  T        360.00 FIDUCIAL       
FD2        FIDUCIAL-1X2       553.937mil   3971.937mil    553.937mil   3971.937mil    553.937mil   3971.937mil  T         90.00 FIDUCIAL       
D2         SMA-SM            3864.394mil   3861.311mil   3850.252mil   3889.362mil   3771.252mil   3889.362mil  T        180.00 SK310A-TP      
C23        C0402              950.027mil    3340.81mil    950.177mil    3340.81mil    968.877mil    3340.81mil  T        180.00 100nF          
R72        R0402              3162.06mil   2269.084mil   3162.009mil   2269.084mil   3143.111mil   2269.084mil  T        360.00 1k             
R74        R0402             3288.858mil   2267.537mil   3288.807mil   2267.537mil   3269.909mil   2267.537mil  T        360.00 1k             
J15        70543-02          3233.937mil   2116.937mil   3233.937mil   2116.937mil   3183.937mil   2116.937mil  T        360.00 C-GRID-02-70543
J14        70543-02          2916.937mil   2116.937mil   2916.937mil   2116.937mil   2866.937mil   2116.937mil  T        360.00 C-GRID-02-70543
D1         DO-214AB          2840.937mil   4075.382mil   2840.937mil   4074.937mil   2840.937mil   4193.937mil  T         90.00 S3A-13-F       
D22        DO-214AB          2801.492mil   3416.937mil   2801.937mil   3416.937mil   2682.937mil   3416.937mil  T        180.00 S3A-13-F       
J9         70543-03          2910.937mil   2562.937mil   2910.937mil   2562.937mil   2810.937mil   2562.937mil  T        360.00 Molex 70543-03 
J10        70543-03          3321.437mil   2562.937mil   3321.437mil   2562.937mil   3221.437mil   2562.937mil  T        360.00 Molex 70543-03 
J11        70543-03          3731.937mil   2562.937mil   3731.937mil   2562.937mil   3631.937mil   2562.937mil  T        360.00 Molex 70543-03 
J5         70543-03          2910.937mil   2802.937mil   2910.937mil   2802.937mil   3010.937mil   2802.937mil  T        180.00 Molex 70543-03 
J7         70543-03          3731.937mil   2802.937mil   3731.937mil   2802.937mil   3831.937mil   2802.937mil  T        180.00 Molex 70543-03 
R76        R0402             3544.026mil   2264.393mil   3543.975mil   2264.393mil   3525.077mil   2264.393mil  T        360.00 1k             
D6         SMA-SM            1035.988mil   3825.079mil   1007.937mil   3810.937mil   1007.937mil   3731.937mil  T        270.00 B240A-13-F     
D7         SMA-SM            1434.988mil   3825.079mil   1406.937mil   3810.937mil   1406.937mil   3731.937mil  T        270.00 B240A-13-F     
D8         SMA-SM            1834.988mil   3823.079mil   1806.937mil   3808.937mil   1806.937mil   3729.937mil  T        270.00 B240A-13-F     
D15        SMA-SM            2744.079mil   3788.886mil   2729.937mil   3816.937mil   2650.937mil   3816.937mil  T        180.00 B240A-13-F     
J2         70543-02           427.937mil   3798.937mil    427.937mil   3798.937mil    377.937mil   3798.937mil  T        360.00 C-GRID-02-70543
Q1         SOT669             825.433mil   3622.765mil    825.433mil   3650.962mil    750.433mil   3550.568mil  T        360.00 PSMN7R0-60YS,115
Q2         SOT669            1223.937mil   3622.765mil   1223.937mil   3650.962mil   1148.937mil   3550.568mil  T        360.00 PSMN7R0-60YS,115
Q3         SOT669            1624.937mil   3622.765mil   1624.937mil   3650.962mil   1549.937mil   3550.568mil  T        360.00 PSMN7R0-60YS,115
Q4         SOT669            2480.433mil   3542.765mil   2480.433mil   3570.962mil   2405.433mil   3470.568mil  T        360.00 PSMN7R0-60YS,115
R14        R0603               693.94mil    3900.94mil    693.937mil   3900.937mil    667.168mil    3900.94mil  T        360.00 1.8K           
R16        R0402              769.886mil   3459.937mil    769.937mil   3459.937mil    788.835mil   3459.937mil  T        180.00 100R           
R17        R0402             2078.937mil   3673.988mil   2078.937mil   3673.937mil   2078.937mil   3655.039mil  T         90.00 10r            
R12        R0603             1925.934mil   3900.934mil   1925.937mil   3900.937mil   1952.706mil   3900.934mil  T        180.00 1.8K           
R18        R0402             2077.937mil   3751.886mil   2077.937mil   3751.937mil   2077.937mil   3770.835mil  T        270.00 100R           
R22        R0402             2873.616mil   2259.963mil   2873.565mil   2259.963mil   2854.667mil   2259.963mil  T        360.00 100K           
R6         R0603              895.934mil   3900.937mil    895.937mil    3900.94mil    922.706mil   3900.937mil  T        180.00 1.8K           
R35        R0402             2997.149mil   2391.533mil   2997.098mil   2391.533mil     2978.2mil   2391.533mil  T        360.00 100K           
R23        R0402             2996.939mil    2265.75mil   2996.888mil    2265.75mil    2977.99mil    2265.75mil  T        360.00 1k             
R7         R0603             1298.934mil   3900.934mil   1298.937mil   3900.937mil   1325.706mil   3900.934mil  T        180.00 1.8K           
R39        R0402             2838.532mil   2963.583mil   2838.583mil   2963.583mil   2857.481mil   2963.583mil  T        180.00 10K            
R24        R0402             1753.937mil   3548.988mil   1753.937mil   3548.937mil   1753.937mil   3530.039mil  T         90.00 10r            
R8         R0603             1698.934mil   3900.927mil   1698.937mil   3900.931mil   1725.706mil   3900.927mil  T        180.00 1.8K           
R29        R0402             2652.559mil   3213.532mil   2652.559mil   3213.583mil   2652.559mil   3232.481mil  T        270.00 10K            
R27        R0402             2349.988mil   3369.937mil   2349.937mil   3369.937mil   2331.039mil   3369.937mil  T        360.00 10r            
R9         R0603              2648.94mil   3900.927mil   2648.937mil   3900.924mil   2622.169mil   3900.927mil  T        360.00 1.8K           
R15        R0402              789.937mil   3398.988mil    789.937mil   3398.937mil    789.937mil   3380.039mil  T         90.00 10r            
R28        R0402              974.937mil   3439.886mil    974.937mil   3439.937mil    974.937mil   3458.835mil  T        270.00 10K            
C72        C0603             1676.533mil    1956.06mil   1676.533mil    1956.06mil   1676.533mil   1929.288mil  T         90.00 0603           
C73        C0402             1626.752mil   1947.938mil   1626.752mil   1948.088mil   1626.752mil   1966.788mil  T        270.00 100nF          
C26        C0402             2766.582mil   3229.331mil   2766.732mil   3229.331mil   2785.432mil   3229.331mil  T        180.00 100nF          
C37        C0603             1856.051mil   2931.487mil   1856.051mil   2931.487mil   1882.822mil   2931.487mil  T        180.00 0603           
